City ,State,Location,Longitude,Latitude
Delray Beach ,Florida,The Blue Anchor,-80.105545,26.459761
Philadelphia ,Pennslyvania ,Eastern State Penitentiary ,-75.165222,39.952583
Deadwood,South Dakota,The Historic Bullock Hotel,-103.7296,44.3767
Bethlehem ,Pennslyvania ,Historic Hotel Bethlehem,-75.3705,40.6259
Bedford,Pennslyvania ,Jean Bonnet Tavern ,-78.503907,40.018692
Savannah ,Georgia,Kehoe House,-81.088371,32.076176
Vicksburg,Mississippi,McRaven ,-90.891266,32.363724
St. Francisville ,Louisiana,The Myrtles Plantation,-91.376846,30.788073
Washington ,District of Colombia ,Omni Shoreham Hotel ,-77.009056,38.889805
Savannah ,Georgia,Sorrel-Weed House,-81.0884,32.076
Estes Park ,Colorado,The Stanley Hotel,-105.522087,40.37701
Weston ,West Virginia ,Trans-Allegheny Lunatic Asylum,-80.467316,39.038425
Moundsville ,West Virginia ,West Virginia Penitentiary ,-80.743141,39.920353
New Orleans ,Louisiana,The LaLaurie Mansion ,-90.071533,29.951065
Portland,Oregon,The Shanghai Tunnels,-122.676483,45.523064
Long Beach ,California ,R.M.S Queen Mary ,-118.193741,33.77005
Fall River,Massachusetts ,Lizzie Borden Bed and Breakfast,-71.149994,41.696629
